date,daysToMaturity,vwap,tradingLowPrice,tradingHighPrice,volumeAmount
2025-10-01,1,23.213297,18.5,30.0,7172340000000.0
2025-10-02,1,23.338838,20.0,25.0,7481700000000.0
2025-10-03,3,23.748544,20.01,35.0,7220930000000.0
2025-10-06,1,26.102648,20.01,58.8,6683210000000.0
2025-10-07,1,32.670353,5.0,45.0,6499020000000.0
2025-10-08,1,40.35847,20.02,57.0,5664460000000.0
2025-10-09,4,47.86756,15.0,140.0,6005720000000.0
2025-10-13,1,53.466864,30.0,73.0,5797990000000.0
2025-10-14,1,75.681839,20.0,145.0,5806370000000.0
2025-10-15,1,94.058447,7.0,120.0,6092770000000.0
2025-10-16,1,61.592279,11.4,93.5,6211780000000.0
2025-10-17,3,30.440579,10.0,50.0,6622670000000.0
2025-10-20,1,28.495078,20.01,36.0,5388910000000.0
2025-10-21,1,24.738243,20.01,30.0,5779260000000.0
2025-10-22,1,24.336098,12.0,28.0,5578300000000.0
2025-10-23,1,28.838407,20.9,47.1,5289590000000.0
2025-10-24,3,43.239366,27.0,160.0,4812290000000.0
2025-10-27,1,53.719865,22.0,99.01,5407410000000.0
2025-10-28,1,59.680635,10.5,85.0,5985140000000.0
2025-10-29,1,32.996782,11.0,55.0,5599750000000.0
2025-10-30,1,27.1871,19.0,34.0,5614660000000.0
2025-10-31,3,23.463964,18.0,27.9,7045360000000.0
2025-11-03,1,22.819748,17.0,35.0,7167140000000.0
2025-11-04,1,22.834361,18.0,24.5,7486010000000.0
2025-11-05,2,21.231473,15.0,25.0,7266550000000.0
2025-11-07,3,20.720847,19.0,25.0,6979670000000.0
2025-11-10,1,20.934172,19.0,26.0,6552730000000.0
2025-11-11,1,20.824341,19.0,25.2,7080410000000.0
2025-11-12,1,20.657349,19.9,24.0,7110130000000.0
2025-11-13,1,20.481153,19.0,22.1,6749980000000.0
2025-11-14,3,20.288623,18.0,25.0,7082770000000.0
2025-11-17,1,20.338819,18.0,23.0,6970260000000.0
2025-11-18,1,20.399401,18.0,22.2,6615010000000.0
2025-11-19,1,20.416468,16.0,23.0,6993990000000.0
2025-11-20,5,19.153527,17.8,21.0,7753790000000.0
2025-11-25,1,19.830094,17.3,21.1,6867450000000.0
2025-11-26,1,20.299002,15.0,22.0,6911190000000.0
2025-11-28,3,20.118471,10.5,24.0,7005630000000.0
2025-12-01,1,20.6661493,12.0,25.0,6100680634386.461
2025-12-02,1,19.8715164,9.97,21.6,6006248303138.819
2025-12-03,1,19.6979902,16.0,21.0,5242043075552.472
2025-12-04,1,19.9078579,15.9,20.4,2859205237736.141
2025-12-05,3,19.93293,10.0,22.0,5336590000000.0
2025-12-09,1,20.1859435,19.3,20.5,4773259109547.233
2025-12-11,1,20.0322717,16.0,21.0,5218710710545.245
2025-12-12,3,20.09846,8.82,21.0,5992855974857.576
2025-12-15,	1,	20.711260,	12.10000,	25.00000,	5641895217448.00
2025-12-16,	1,	21.096092,	15.50000,	23.00000,	5784501178321.00
2025-12-17,	1,	20.881830,	16.00000,	22.00000,	5464085542414.00
2025-12-18,	1,	20.862784,	16.00000,	60.00000,	5332432231830.00
2025-12-19,	3,	20.874224,	17.00000,	21.90000,	5383411044743.00
2025-12-22,	1,	22.083460,	19.80000,	36.00000,	5608028356468.00
2025-12-23,	3,	25.323384,	13.50000,	34.90000,	5901845421016.00
2025-12-26,	3,	28.177340,	16.50000,	32.50000,	5608608618039.00
2025-12-29,	1,	33.242881,	10.00000,	140.00000,	5531211296925.00
2025-12-30,	3,	66.185886,	19.00000,	110.00000,	5912338772413.00
2026-01-02,	3,	43.739395,	16.00000,	68.50000,	6237494361789.00
2026-01-05,1,35.1642396,25.0,86.0,6090501933448.241
